Localidad;Tipo de propiedad;Direccion
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL74A#66-72 METROPOLIS UNIDAD veinte Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR66#98-52 PORTAL DE VIZCAYA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL63DBis#28A-52 SALAMANCA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR67#97-96  LAS TORRES DE VIZCAYA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL78#63-20  SALOMON II Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL83#22A-25 LA PORTADA DEL POLO Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR23#63D-11  Esquina 63D Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL94A#61-05  MENDIGUACA Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL74A#66-28 METROPOLIS UNIDAD DIECIOCHO Bogota Colombia
BARRIOS UNIDOS;EDIFICIOS MULTIFAMILIARES;AC80#23-86  COLPATRIA SEGUNDO SECTOR Bogota Colombia
BARRIOS UNIDOS;UNIDAD RESIDENCIAL;DG85#33-13 POLO OCCIDENTAL SEGUNDO SECTOR  Bogota Colombia
BARRIOS UNIDOS;CASA;AC80#58-64 UNIDAD SIETE DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR26#71B-30 72 HUB Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL74A#66-55 METROPOLIS UNIDAD VEINTIUNO Bogota Colombia
BARRIOS UNIDOS;CASA;KR58#80-75 UNIDAD DIEZ DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR20B#75-54  SITGES Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;KR66#73-04 BALCONES DE METROPOLIS III Bogota Colombia
BARRIOS UNIDOS;UNIDAD RESIDENCIAL;KR28#80-19 POLO OCCIDENTAL PRIMER SECTOR Bogota Colombia
BARRIOS UNIDOS;CONJUNTO;CL96#45A-40AG3 VILLA CALASANZ ETAPA II AGRUPACION 3 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#79-84  METROPOLIS UNIDAD TRES Bogota Colombia
