Localidad,Tipo de propiedad,Direccion,latitud,longitud
BARRIOS UNIDOS,CONJUNTO,CL96#45A-40 VILLA CALASANZ II ETAPA AGRUPACIÃÂN IV INTERIORES 10 11 Y 12 Bogota Colombia,,
BARRIOS UNIDOS,EDIFICIO,CL95#48-40  CASTILLA Bogota Colombia,4.684219,-74.061249
BARRIOS UNIDOS,EDIFICIO,KR50B#64-69 TORRE FUERTE Bogota Colombia,4.621214,-74.1134091
BARRIOS UNIDOS,EDIFICIO,KR67#67F-79 TORRES DE LAS LAJAS Bogota Colombia,4.6759924,-74.0861295
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL96#46-58 VILLA CALASANZ I ETAPA Bogota Colombia,4.6847623,-74.0588479
BARRIOS UNIDOS,CONJUNTO,AC100#49-97 CONJUNTO PARQUE RESIDENCIAL CALLE 100  Bogota Colombia,4.687928299999999,-74.06304879999999
BARRIOS UNIDOS,EDIFICIO,KR23#63-25 LOS CEREZOS Bogota Colombia,4.7090324,-74.09830199999999
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR66#97-35 VIZCAYA BLOQUES III Y IV Bogota Colombia,4.636619500000001,-74.1269508
BARRIOS UNIDOS,EDIFICIO,CL63C#21-24 MUEQUETÃ¡ Bogota Colombia,4.6534107,-74.0712369
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,AK45#94-07 CALARCA Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,EDIFICIO,CL67A#50B-12 FERRARA 67 Bogota Colombia,4.6641622,-74.0774663
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#76-46 METROPOLIS UNIDAD 6 Bogota Colombia,4.6799574,-74.08055200000001
BARRIOS UNIDOS,EDIFICIO,AV13#86-13 LOS PINOS Bogota Colombia,4.701713199999999,-74.1056435
BARRIOS UNIDOS,EDIFICIO,CL63A#26-43 MARIA CRISTINA PH Bogota Colombia,4.6509963,-74.0788731
BARRIOS UNIDOS,EDIFICIO,KR49#91-91  LA CASTELLANA 91-2 Bogota Colombia,4.680656,-74.062044
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL66B#50-61 EL LABRADOR IV Bogota Colombia,4.670326699999999,-74.08430609999999
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,KR66#76-26 METROPOLIS UNIDAD 7 Bogota Colombia,4.6822943,-74.0787642
BARRIOS UNIDOS,EDIFICIO,CL63#24-44 ANA VIRGINIA II Bogota Colombia,4.6732776,-74.1022655
BARRIOS UNIDOS,EDIFICIO,KR62#96-75 LOS ANDES NORTE Bogota Colombia,4.6875497,-74.0681496
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL75A#66-43 METROPOLIS UNIDAD 17 Bogota Colombia,4.679586,-74.0826945
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,KR61#72A-35 BALCONES DE METROPOLIS II Bogota Colombia,4.677656499999999,-74.0821041
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR63#68-40 K 68 PH Bogota Colombia,4.6462242,-74.1092805
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,KR60#79B-46  ENTRE RIOS UNIDAD DOS Bogota Colombia,4.6772661,-74.0762926
BARRIOS UNIDOS,EDIFICIO,KR45A#95-37  CASTELLANA FORUM Bogota Colombia,4.6840305,-74.0588135
BARRIOS UNIDOS,EDIFICIO,KR60D#90-04  UDARA ® ENTRE PARQUES Bogota Colombia,4.6822989,-74.0694043
BARRIOS UNIDOS,EDIFICIO,KR25#68-68 ANDRES I Bogota Colombia,4.6016028,-74.0943384
