DESC. CIIU1,Direccion,latitud,longitud
Alojamiento En Hoteles,CALLE 31 # 17 - 32 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.1218786,-73.125908
Alojamiento En Hoteles,CALLE 55 # 17 A - 33 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1086708,-73.1192628
Alojamiento En Hoteles,CARRERA 17 B # 54 - 26 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1090154,-73.1191418
Alojamiento En Hoteles,CALLE 55 # 17 A - 62 - 68 Bucaramanga SANTANDER Colombia,7.108602400000001,-73.11879580000002
Alojamiento En Hoteles,CARRERA 18 # 30 - 31 Bucaramanga SANTANDER Colombia,7.1227648,-73.1254003
Alojamiento En Hoteles,CALLE 31 # 19 - 31 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.122794,-73.12414199999999
Alojamiento En Hoteles,CR 36   52   138   34 Bucaramanga SANTANDER Colombia,7.112226,-73.107995
Alojamiento En Hoteles,CARRERA 18 # 33 - 60 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1205168,-73.12469469999999
Alojamiento En Hoteles,CL  35   18   65 OF 601 CC ROSEDAL Bucaramanga SANTANDER Colombia,7.1196809,-73.12377049999999
Alojamiento En Hoteles,CL 31   21    34 Bucaramanga SANTANDER Colombia,7.123207900000001,-73.12258229999999
Alojamiento En Hoteles,CALLE 10 # 27 - 28 Bucaramanga SANTANDER Colombia,7.137531399999999,-73.11995329999999
Alojamiento En Hoteles,CALLE 53 # 31 - 140 Bucaramanga SANTANDER Colombia,7.1111138,-73.11074669999999
Alojamiento En Hoteles,CL 51   34   17 OF 210 Bucaramanga SANTANDER Colombia,7.1150809,-73.10958839999999
Alojamiento En Hoteles,CARRERA 34 # 46 - 104 BARRIO CABECERA DEL LLANO Bucaramanga SANTANDER Colombia,7.1172076,-73.1106056
Alojamiento En Hoteles,CARRERA 19 # 30 - 23 Bucaramanga SANTANDER Colombia,7.123199,-73.1245709
Alojamiento Rural,CARRERA 14 # 35 - 26 OFICINA 401 Bucaramanga SANTANDER Colombia,7.119349,-73.1227416
Alojamiento En Hoteles,CARRERA 15 # 41 - 25 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.116101599999999,-73.12555780000001
Alojamiento En Hoteles,CARRERA 18 # 21 - 64 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.126688,-73.126835
Alojamiento En Hoteles,CALLE 24 # 17 - 59 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.0642007,-73.1644974
Alojamiento En Hoteles,CR 21   30   42 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.123588,-73.123203
Alojamiento En Hoteles,CALLE 56 # 18 - 25 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1087284,-73.1167321
Alojamiento En Hoteles,CALLE 30 # 17 - 38 Bucaramanga SANTANDER Colombia,7.1226181,-73.1260264
Alojamiento En Hoteles,DIAGONAL 15 # 45 - 52 Bucaramanga SANTANDER Colombia,7.113945299999999,-73.124982
Alojamiento En Hoteles,CR 34   42   09 AP 201 ED TORRES DE BILBAO BRR CABECERA Bucaramanga SANTANDER Colombia,7.1211158,-73.1110479
Alojamiento En Hoteles,CR 16   30   22 BRR CENTRO Bucaramanga SANTANDER Colombia,7.121017999999999,-73.1293929
Alojamiento En Hoteles,CARRERA 22 # 54 - 100 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia,7.109819399999999,-73.11610569999999
Alojamiento En Hoteles,CALLE 56 # 21 - 49 Bucaramanga SANTANDER Colombia,7.1089844,-73.116001
Alojamiento En Hoteles,CARRERA 31 # 33 - 60 BARRIO LA AURORA Bucaramanga SANTANDER Colombia,7.125089999999999,-73.114223
Alojamiento En Hoteles,CARRERA 35 A # 49 - 07 LOCAL 402 - 6 EDIFICIO CENTRO COMERCIAL CABECERA CUARTA ETAPA Bucaramanga SANTANDER Colombia,7.1149958,-73.10878640000001
Alojamiento En Hoteles,CALLE 34 # 13 - 75 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1190738,-73.12786439999999
Alojamiento Rural,CARRERA 39 # 41 - 09 APARTAMENTO 1202 Bucaramanga SANTANDER Colombia,7.122858,-73.10771
Alojamiento En Hoteles,CL 31   19   25   BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.1228538,-73.12418559999999
Alojamiento En Hoteles,CL 15   20   07 OF 301 BRR SAN FRANCISCO Bucaramanga SANTANDER Colombia,7.133579699999999,-73.1094541
Alojamiento En Hoteles,CALLE 56 # 17 A - 08 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1075798,-73.1190361
Alojamiento En Hoteles,CL 31   23   16 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.123985599999999,-73.1212826
Alojamiento En Hoteles,CALLE 33 # 19 - 68 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1216342,-73.12334539999999
Alojamiento En Hoteles,CARRERA 20 # 36 - 68 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.118846,-73.122162
Alojamiento En Hoteles,CALLE 55 # 17 A - 25 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.108582999999999,-73.11926
Alojamiento En Apartahoteles,CALLE 37 # 24 - 49 APARTAMENTO 605 EDIFICIO STRADA SUITES TORRE EJECUTIVA P.H. Bucaramanga SANTANDER Colombia,7.119862899999999,-73.1183097
Alojamiento En Hoteles,CARRERA 35 # 54 - 109 Bucaramanga SANTANDER Colombia,7.110206799999999,-73.10865369999999
Alojamiento En Hoteles,CALLE 31 # 20 - 40 Bucaramanga SANTANDER Colombia,7.123058899999999,-73.1232903
Alojamiento En Hoteles,CL. 48 NO. 34-29 Bucaramanga SANTANDER Colombia,7.116796,-73.110162
Alojamiento En Hoteles,DIAGONAL 15 # 58 - 40 Bucaramanga SANTANDER Colombia,7.1077417,-73.11630819999999
Alojamiento En Hoteles,DG 15   55   55 BRR LA CONCORDIA Bucaramanga SANTANDER Colombia,7.1085724,-73.1176618
Alojamiento En Hoteles,CL 56 NO. 17A-77 HOTEL BUCARAMANGA PLAZA Bucaramanga SANTANDER Colombia,7.1080448,-73.1185793
Alojamiento En Hoteles,CR 22   21   59 Bucaramanga SANTANDER Colombia,7.1274483,-73.1233081
Alojamiento En Hoteles,CALLE 61 # 16 - 38 Bucaramanga SANTANDER Colombia,7.104286999999999,-73.11838
Alojamiento En Hoteles,CR.17C NO. 55-56 Bucaramanga SANTANDER Colombia,7.1083349,-73.1180213
Alojamiento En Hoteles,CL  99   13   53 BRR CONQUISTADORES Bucaramanga SANTANDER Colombia,7.0884918,-73.1238386
Alojamiento En Hoteles,CALLE 32 # 21 - 65 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.122911999999999,-73.12217799999999
Alojamiento En Hoteles,CL 45   13   57 BRR GARCIA ROVIRA Bucaramanga SANTANDER Colombia,7.1139758,-73.1267539
Alojamiento En Hoteles,CARRERA 15 # 56 - 31 BARRIO GOMEZ NIÑO Bucaramanga SANTANDER Colombia,7.1073048,-73.12106659999999
Alojamiento En Hoteles,CR  17 A   53   59 BRR LA CONCORDIA Bucaramanga SANTANDER Colombia,7.108954000000001,-73.11960619999999
Alojamiento En Hoteles,CARRERA 17 A # 28 - 17 Bucaramanga SANTANDER Colombia,7.1241325,-73.1264125
Alojamiento En Hoteles,CALLE 42 # 18 - 06 Bucaramanga SANTANDER Colombia,7.115981,-73.1224785
Alojamiento En Hoteles,CALLE 34 # 13 - 51 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1190039,-73.1280391
Alojamiento En Hoteles,CALLE 51 # 31 - 106 Bucaramanga SANTANDER Colombia,7.1139212,-73.1113329
Alojamiento En Hoteles,CR 12   34   67 OF 302 Bucaramanga SANTANDER Colombia,7.080264799999999,-73.1026358
Alojamiento En Hoteles,CARRERA 24 # 80 - 12 URBANIZACIÓN NEPTUNO BLOQUE DIANA APARTAMENTO 5 B BARRIO DIAMANTE II Bucaramanga SANTANDER Colombia,7.0956674,-73.111379
Alojamiento En Hoteles,CALLE 34 # 17 - 73 Bucaramanga SANTANDER Colombia,7.120203699999999,-73.12479239999999
Alojamiento En Hoteles,CALLE 55 # 17 A - 46 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1085403,-73.118966
Alojamiento Rural,CL 43   29   55 OF 203 ED PALMAS 42 Bucaramanga SANTANDER Colombia,7.1203346,-73.1125478
Alojamiento En Hoteles,CARRERA 17 A # 55 - 07 Bucaramanga SANTANDER Colombia,7.1084,-73.1193784
Alojamiento En Hoteles,CALLE 56 # 17 A - 34 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.107725,-73.1188516
