DESC. CIIU1;Direccion
Alojamiento En Hoteles;CARRERA 15 # 41 - 25 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 18 # 21 - 64 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 24 # 17 - 59 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 21   30   42 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 18 - 25 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 30 # 17 - 38 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;DIAGONAL 15 # 45 - 52 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 34   42   09 AP 201 ED TORRES DE BILBAO BRR CABECERA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 16   30   22 BRR CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 22 # 54 - 100 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 21 - 49 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 31 # 33 - 60 BARRIO LA AURORA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 35 A # 49 - 07 LOCAL 402 - 6 EDIFICIO CENTRO COMERCIAL CABECERA CUARTA ETAPA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 13 - 75 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento Rural;CARRERA 39 # 41 - 09 APARTAMENTO 1202 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 31   19   25   BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 15   20   07 OF 301 BRR SAN FRANCISCO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 A - 08 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 31   23   16 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 33 # 19 - 68 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 20 # 36 - 68 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 25 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;CALLE 37 # 24 - 49 APARTAMENTO 605 EDIFICIO STRADA SUITES TORRE EJECUTIVA P.H. Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 35 # 54 - 109 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 20 - 40 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL. 48 NO. 34-29 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;DIAGONAL 15 # 58 - 40 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;DG 15   55   55 BRR LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 56 NO. 17A-77 HOTEL BUCARAMANGA PLAZA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 22   21   59 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 61 # 16 - 38 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR.17C NO. 55-56 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL  99   13   53 BRR CONQUISTADORES Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 32 # 21 - 65 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 45   13   57 BRR GARCIA ROVIRA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 15 # 56 - 31 BARRIO GOMEZ NIÑO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR  17 A   53   59 BRR LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 28 - 17 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 42 # 18 - 06 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 13 - 51 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 51 # 31 - 106 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 12   34   67 OF 302 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 24 # 80 - 12 URBANIZACIÓN NEPTUNO BLOQUE DIANA APARTAMENTO 5 B BARRIO DIAMANTE II Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 34 # 17 - 73 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 46 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento Rural;CL 43   29   55 OF 203 ED PALMAS 42 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 55 - 07 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 17 A - 34 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 5 29 - 19 BARRIO GIRARDOT Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 35 # 18 - 83 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 15 # 19 - 27 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 53 - 19 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;AV QUEBRADASECA   29   09 AP 1102 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 C # 55 - 56 Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;AV BUCAROS OESTE 3   155 TO 7 AP 906 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 40 # 5 N - 114 BARRIO CAFÉ MADRID Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 6 43 N 02 BARRIO CAFÉ MADRID Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 17   55   55 BRR RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 D # 58 - 52 OFICINA 301 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 22   30   29 BRR ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 120 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 30 # 16 - 10 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 35 # 18 - 33 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 61 # 17 F - 15 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 30 # 16 - 41 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 70   3   97 KM 2 VIA GIRON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 33 # 32 - 90 Y 32 - 92 BARRIO EL PRADO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 31 # 20 -  52 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 - 12 INCLUYENDO CALLE 55 # 17 - 35 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 31 # 22 -  41 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;FINCA EL PROGRESO VEREDA SAN JOSE CASA 40 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 18 # 20 -  29 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 61 # 17 -  38 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 55 - 03 BARRIO LA CONCORDIA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Calle 34 # 22 -  72 Local 1 Bucaramanga SANTANDER Colombia
Alojamiento Rural;Vereda SANTA BARBARA 10 DE MAYO Finca EL CEDRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;Carrera 17B # 54 -  12 Barrio RICAURTE Bucaramanga SANTANDER Colombia
